Active Cases,Country,Deaths/1M pop,Document Index (generated),New Cases,New Deaths,Number of Records,"Serious,Critical",Tests/1M pop,Tot Cases/1M pop,Total Cases,Total Deaths,Total Recovered,Total Tests
1055309,World,10.7,1,"16,985","1,378",1,47994,,186,1447904,83412,309183,
365981,USA,39,2,214,16,1,9169,6291,1210,400549,12857,21711,2082443
84114,Spain,311,3,"4,748",510,1,7069,7593,3137,146690,14555,48021,355000
94067,Italy,283,4,,,1,3792,12495,2243,135586,17127,24392,755445
79404,France,158,5,,,1,7131,3436,1671,109069,10328,19337,224254
69566,Germany,24,6,,,1,4895,10962,1285,107663,2016,36081,918460
33554,Iran,48,7,"1,997",121,1,3987,2514,769,64586,3993,27039,211136
48948,UK,91,8,,,1,1559,3929,814,55242,6159,135,266694
31802,Turkey,9,9,,,1,1474,2643,404,34109,725,1582,222868
16482,Belgium,193,10,"1,209",205,1,1276,6947,2019,23403,2240,4681,80512
13227,Switzerland,99,11,536,37,1,391,19867,2633,22789,858,8704,171938
18051,Netherlands,131,12,969,147,1,1424,5053,1199,20549,2248,250,86589
13488,Canada,10,13,,,1,426,9223,474,17897,381,4028,348105
13326,Brazil,3,14,118,13,1,296,258,67,14152,699,127,54824
12565,Portugal,37,15,699,35,1,245,12630,1289,13141,380,196,128784
8067,Austria,30,16,213,30,1,267,13408,1427,12852,273,4512,120755
3408,S. Korea,4,17,53,8,1,55,9310,203,10384,200,6776,477304
8531,Israel,8,18,156,7,1,147,13557,1086,9404,72,801,117339
8029,Russia,0.4,19,"1,175",5,1,8,6237,59,8672,63,580,910221
7527,Sweden,68,20,726,96,1,678,5416,834,8419,687,205,54700
5961,Norway,17,21,,4,1,78,21009,1123,6086,93,32,113896
3150,Australia,2,22,25,1,1,87,12524,236,6013,50,2813,319368
5474,Ireland,43,23,,,1,165,8604,1156,5709,210,25,42484
4848,India,0.1,24,129,4,1,,102,4,5480,164,468,140293
3547,Denmark,38,25,315,15,1,127,10086,930,5386,218,1621,58419
4175,Chile,2,26,,,1,337,2988,268,5116,43,898,57122
